"";"Onderwerpen";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Kenmerken gemeente";"Kenmerken gemeente";"Kenmerken gemeente";"Kenmerken gemeente"
"";"Onderwerpen";"Totaal huishoudelijk afval";"Huishoudelijk restafval";"Grof huishoudelijk restafval";"Verbouwingsrestafval";"GFT-afval";"Oud papier en karton";"Verpakkingsglas";"Textiel";"Klein chemisch afval (KCA)";"Metalen verpakkingen (blik)";"Drankenkartons";"Kunststof verpakkingen";"Overige kunststoffen";"Luiers";"Wit- en bruingoed";"Grof tuinafval";"Bruikbaar huisraad";"Vloerbedekking";"Vlakglas";"Metalen";"Houtafval (A- en B-hout)";"Houtafval (C-hout)";"Schoon puin";"Bitumenhoudende dakbedekking";"Asbesthoudend afval";"Autobanden";"Schone grond";"Overige afvalstoffen";"Gemeentecode";"Provincie";"Stedelijkheid";"Inwoners per 1 januari"
"Regio's";"Perioden";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"";"";"";"aantal"
"Grootegast";"2006";"848";"221";"24";"-";"147";"110";"16";"7";"2";"-";"4";"13";".";".";"3";"72";"1";"4";"1";"18";"49";".";"52";"2";"3";"1";"97";"2";"0015";"Groningen";"Niet stedelijk";"12102"
"Grootegast";"2007";"832";"206";"18";"-";"138";"124";"19";"6";"2";"-";"3";"19";"1";"-";"3";"33";"2";"4";"2";"19";"40";"2";"54";"2";"2";"1";"130";"2";"0015";"Groningen";"Niet stedelijk";"12148"
"Grootegast";"2008";"792";"178";"18";"-";"140";"131";"22";"7";"2";"-";"4";"27";"1";"-";"3";"39";"2";"5";"1";"14";"36";"5";"52";"2";"2";"1";"97";"3";"0015";"Groningen";"Niet stedelijk";"12208"
"Grootegast";"2009";"547";"109";"16";"-";"70";"124";"21";"7";"2";"-";"3";"28";"1";"-";"3";"50";"1";"4";"1";"15";"32";"3";"47";"2";"2";"1";"-";"4";"0015";"Groningen";"Niet stedelijk";"12191"
"Grootegast";"2010";"682";"119";"15";"-";"79";"113";"26";"8";"1";"-";"4";"30";"1";"-";"4";"40";"1";"3";"1";"16";"37";"5";"39";"3";"1";"1";"134";"2";"0015";"Groningen";"Niet stedelijk";"12141"
"Grootegast";"2011";"639";"115";"15";"-";"66";"115";"22";"7";"2";"-";"4";"29";"1";"-";"4";"31";"1";"2";"1";"13";"38";"4";"34";"2";"2";"1";"129";"2";"0015";"Groningen";"Niet stedelijk";"12209"
"Grootegast";"2012*";"613";"110";"15";"-";"62";"105";"24";"5";"1";"-";"4";"28";"1";"-";"3";"42";"1";"2";"1";"11";"29";"3";"29";"1";"1";"0";"132";"1";"0015";"Groningen";"Niet stedelijk";"12275"
"Gulpen-Wittem";"2002";"545";"172";"25";"3";"174";"78";"26";"5";"1";"0";"-";"-";".";".";".";"21";"-";"-";"-";"3";"12";".";"20";"-";"2";"-";"-";"-";"1729";"Limburg";"Niet stedelijk";"15428"
"Gulpen-Wittem";"2003";"521";"176";"19";"3";"160";"76";"26";"4";"1";"-";"-";"-";".";".";".";"20";"-";"-";"-";"3";"13";".";"16";"-";"2";"-";"-";"-";"1729";"Limburg";"Niet stedelijk";"15340"
"Gulpen-Wittem";"2004";"540";"181";"15";"3";"177";"81";"24";"5";"1";"-";"-";"-";".";".";"3";"21";"-";"-";"0";"2";"9";".";"14";"-";"1";"0";"-";"0";"1729";"Limburg";"Niet stedelijk";"15135"
"Gulpen-Wittem";"2005";"530";"179";"13";"2";"169";"84";"25";"5";"1";"-";"-";"-";".";".";"3";"20";"3";"-";"-";"2";"9";".";"14";"-";"1";"0";"1";"1";"1729";"Limburg";"Niet stedelijk";"15044"
"Gulpen-Wittem";"2006";"538";"180";"15";"2";"165";"84";"24";"4";"1";"-";"-";"-";".";".";"3";"25";"3";"-";"0";"2";"12";".";"16";"-";"1";"0";"-";"1";"1729";"Limburg";"Niet stedelijk";"14954"
"Gulpen-Wittem";"2007";"564";"188";"15";"2";"170";"89";"24";"4";"1";"-";"-";"-";"-";"1";"5";"29";"2";"-";"-";"2";"12";"-";"18";"-";"1";"0";"-";"-";"1729";"Limburg";"Niet stedelijk";"14841"
"Gulpen-Wittem";"2008";"549";"184";"16";"2";"164";"90";"20";"3";"1";"-";"-";"-";"-";"1";"3";"30";"2";"-";"-";"2";"13";"-";"16";"-";"1";"0";"-";"0";"1729";"Limburg";"Niet stedelijk";"14712"
"Gulpen-Wittem";"2009";"563";"189";"15";"2";"173";"87";"23";"2";"1";"-";"-";"-";"-";"1";"3";"31";"3";"-";"-";"2";"12";"-";"18";"-";"1";"0";"-";"0";"1729";"Limburg";"Niet stedelijk";"14585"
"Gulpen-Wittem";"2010";"574";"192";"15";"2";"177";"84";"26";"3";"1";"-";"0";"1";"-";"1";"3";"32";"3";"-";"-";"2";"14";"-";"19";"-";"1";"0";"-";"0";"1729";"Limburg";"Niet stedelijk";"14594"
"Gulpen-Wittem";"2011";"558";"186";"15";"2";"153";"82";"24";"2";"1";"-";"0";"1";"-";"1";"3";"35";"3";"-";"-";"2";"15";"-";"30";"-";"1";"0";"-";"1";"1729";"Limburg";"Niet stedelijk";"14496"
"Gulpen-Wittem";"2012*";"558";"187";"14";"2";"147";"80";"24";"3";"1";"-";"0";"5";"-";"1";"3";"36";"3";"-";"0";"2";"13";"-";"30";"-";"1";"0";"6";"0";"1729";"Limburg";"Niet stedelijk";"14479"
"Haaksbergen";"2002";".";"223";".";".";"126";"83";"24";".";"1";"-";"-";"-";".";".";".";".";"-";"-";".";".";".";".";".";"-";".";"-";"-";".";"0158";"Overijssel";"Weinig stedelijk";"24217"
"Haaksbergen";"2003";".";"228";".";".";"129";".";"25";".";"1";".";"-";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"-";"0158";"Overijssel";"Weinig stedelijk";"24109"
"Haaksbergen";"2004";".";"232";".";".";"127";".";"24";".";"1";".";"-";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"-";"0158";"Overijssel";"Weinig stedelijk";"24123"
"Haaksbergen";"2005";".";"227";".";".";".";".";"23";".";"1";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"-";"0158";"Overijssel";"Weinig stedelijk";"24267"
"Haaksbergen";"2006";".";"224";".";".";"115";".";"23";".";"1";"-";"-";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"-";"0158";"Overijssel";"Weinig stedelijk";"24344"
"Haaksbergen";"2007";".";"230";".";".";"119";".";"24";".";"1";"-";"-";".";"-";"-";".";".";".";".";".";".";".";"-";".";".";".";".";".";"-";"0158";"Overijssel";"Weinig stedelijk";"24348"
"Haaksbergen";"2008";".";"229";".";".";"115";".";"25";".";"1";"-";"-";".";"-";"-";".";".";".";".";".";".";".";"-";".";".";".";".";".";"-";"0158";"Overijssel";"Weinig stedelijk";"24378"
"Haaksbergen";"2009";".";"206";".";".";"116";".";"25";".";".";"-";"-";".";"-";"-";".";".";".";".";".";".";".";"-";".";".";".";".";".";"-";"0158";"Overijssel";"Weinig stedelijk";"24495"
"Haaksbergen";"2010";".";"216";".";".";"108";".";"25";".";"1";"-";"-";"6";"-";"-";".";".";".";".";".";".";".";"-";".";".";".";".";".";"-";"0158";"Overijssel";"Weinig stedelijk";"24486"
"Haaksbergen";"2011";".";"219";".";".";"109";".";"26";".";"2";"-";"-";"7";"-";"-";"4";".";".";".";".";".";".";"-";".";".";".";".";".";"-";"0158";"Overijssel";"Weinig stedelijk";"24448"
"Haaksbergen";"2012*";".";"218";"14";"10";"110";".";"25";"3";"2";"-";"-";"7";"-";"-";"2";"22";".";".";".";"2";"17";"-";"48";".";"2";"0";".";"-";"0158";"Overijssel";"Weinig stedelijk";"24419"
"Haaren";"2002";"430";"130";"34";"-";"51";"51";"22";"1";"2";"1";"1";"-";".";".";"2";"83";"-";"-";"0";"11";"10";".";"27";"-";"2";"0";"-";"-";"0788";"Noord-Brabant";"Niet stedelijk";"14128"
"Haaren";"2003";"396";"145";"21";"-";"45";"51";"21";"1";"2";"-";"0";"-";".";".";"3";"70";"-";"-";"1";"7";"11";".";"19";"-";"1";"0";"-";"-";"0788";"Noord-Brabant";"Niet stedelijk";"14043"
"Haaren";"2004";"413";"146";"22";"-";"43";"44";"24";"1";"2";"0";"0";"0";".";".";"3";"92";"-";"-";"1";"3";"10";".";"18";"-";"1";"0";"-";"-";"0788";"Noord-Brabant";"Niet stedelijk";"14037"
"Haaren";"2005";"368";"129";"25";"-";"39";"45";"24";"3";"2";"0";"1";"0";".";".";"4";"58";"-";"-";"1";"7";"13";".";"17";"-";"1";"0";"-";"-";"0788";"Noord-Brabant";"Niet stedelijk";"13914"
"Haaren";"2006";"434";"123";"26";"-";"33";"60";"25";"3";"3";"-";"1";"-";".";".";"1";"115";"-";"-";"1";"7";"16";".";"19";"-";"1";"0";"-";"-";"0788";"Noord-Brabant";"Niet stedelijk";"13833"
"Haaren";"2007";"380";"107";"31";"-";"26";"64";"27";"4";"3";"-";"1";"-";"-";"-";"5";"78";"-";"-";"1";"10";"14";"-";"10";"-";"1";"0";"-";"-";"0788";"Noord-Brabant";"Niet stedelijk";"13772"
"Haaren";"2008";"401";"115";"26";"-";"25";"61";"27";"4";"2";"-";"1";"-";"-";"-";"5";"103";"-";"-";"1";"6";"12";"-";"12";"-";"1";"0";"-";"-";"0788";"Noord-Brabant";"Niet stedelijk";"13769"
"Haaren";"2009";"387";"98";"20";"-";"22";"57";"24";"5";"2";"-";"1";"13";"-";"-";"5";"111";"-";"-";"1";"7";"10";"-";"11";"-";"1";"0";"-";"-";"0788";"Noord-Brabant";"Niet stedelijk";"13711"
"Haaren";"2010";"389";"99";"19";"-";"23";"64";"26";"5";"2";"-";"1";"13";"-";"-";"4";"103";"-";"-";"1";"6";"9";"-";"13";"-";"1";"0";"-";"-";"0788";"Noord-Brabant";"Niet stedelijk";"13625"
"Haaren";"2011";"402";"102";"22";"-";"25";"63";"25";"5";"2";"-";"1";"14";"-";"-";"5";"109";"-";"-";"1";"5";"9";"-";"12";"-";"1";"0";"-";"-";"0788";"Noord-Brabant";"Niet stedelijk";"13630"
"Haaren";"2012*";"408";"99";"21";"-";"24";"48";"26";"5";"2";"-";"1";"16";"-";"-";"5";"137";"-";"-";"1";"4";"8";"-";"10";"-";"1";"0";"-";"-";"0788";"Noord-Brabant";"Niet stedelijk";"13621"
"Haarlem";"2002";"525";"329";"54";"-";"44";"44";"23";"3";"1";"-";"-";"-";".";".";"4";"3";"-";"-";".";".";"10";".";"8";"-";"1";"0";"-";"-";"0392";"Noord-Holland";"Zeer sterk stedelijk";"147824"
"Haarlem";"2003";"497";"301";"57";"-";"32";"42";"21";"3";"1";"-";"-";"-";".";".";"5";"3";"-";"-";"-";"-";"13";".";"18";"-";"1";"0";"-";"-";"0392";"Noord-Holland";"Zeer sterk stedelijk";"147097"
"Haarlem";"2004";"522";"311";"61";"-";"31";"43";"21";"3";"1";"-";"-";"-";".";".";"5";"3";".";"1";"-";"2";"15";".";"18";"-";"1";"0";"-";"-";"0392";"Noord-Holland";"Zeer sterk stedelijk";"147343"
"Haarlem";"2005";".";"341";".";"-";"27";"46";"22";"5";"1";"-";"-";"-";".";".";"6";"3";"-";"1";"0";"3";"14";".";"16";"-";"0";"0";"-";"-";"0392";"Noord-Holland";"Zeer sterk stedelijk";"146739"
"Haarlem";"2006";"519";"311";"57";"1";"43";"49";"23";".";"1";"-";"-";"0";".";".";"3";"3";"-";"-";"-";"3";"12";".";"10";"0";"0";"0";"-";"-";"0392";"Noord-Holland";"Zeer sterk stedelijk";"147015"
"Haarlem";"2007";"524";"305";"51";"-";"41";"51";"23";".";"1";"-";"-";"1";"-";"-";"3";"3";"12";"-";"-";"3";"12";"1";"11";"0";"0";"-";"-";"1";"0392";"Noord-Holland";"Zeer sterk stedelijk";"146960"
"Haarlem";"2008";"513";"302";"38";"-";"42";"49";"24";".";"1";"-";"-";"1";"-";"-";"3";"3";"12";"-";"-";"4";"13";"1";"12";"0";"0";"-";"-";"1";"0392";"Noord-Holland";"Zeer sterk stedelijk";"147640"
"Haarlem";"2009";"506";"295";"41";"6";"40";"46";"25";"4";"1";"-";"-";"-";"1";"-";"3";"3";"11";"-";"0";"4";"11";"2";"11";"0";"0";"-";"-";"-";"0392";"Noord-Holland";"Zeer sterk stedelijk";"148191"
"Haarlem";"2010";"495";"293";"40";"2";"39";"46";"24";"4";"1";"-";"-";"2";"1";"-";"4";"3";"11";"-";"0";"3";"9";"1";"11";"0";"0";"0";"-";"1";"0392";"Noord-Holland";"Zeer sterk stedelijk";"149579"
"Haarlem";"2011";"490";"288";"39";"1";"39";"44";"24";".";"1";"-";"-";"2";"1";"-";"4";"4";"11";"-";"0";"3";"9";"1";"11";"1";"0";"-";"-";"1";"0392";"Noord-Holland";"Zeer sterk stedelijk";"150670"
"Haarlem";"2012*";"469";"273";"35";"4";"39";"39";"24";"3";"1";"-";"-";"3";"1";"-";"4";"4";"12";"-";"0";"3";"10";"1";"11";"0";"0";".";"-";"1";"0392";"Noord-Holland";"Zeer sterk stedelijk";"151818"
"Haarlemmerliede en Spaarnwoude";"2002";".";"336";"70";"-";"87";".";"21";"3";"1";"-";"-";"-";".";".";"2";"15";"-";"-";"-";"1";"-";".";"7";"-";"-";"0";"-";"-";"0393";"Noord-Holland";"Weinig stedelijk";"5547"
"Haarlemmerliede en Spaarnwoude";"2003";"579";"336";"64";"-";"87";"48";"17";"3";"1";"-";"-";"-";".";".";"1";"16";"-";"-";"-";"3";"1";".";"2";"-";"1";"-";"-";"-";"0393";"Noord-Holland";"Weinig stedelijk";"5533"
"Haarlemmerliede en Spaarnwoude";"2004";"588";"340";"66";"-";"94";"48";"16";"3";"1";"-";"-";"-";".";".";"1";"15";"-";"-";"-";"3";"1";".";"1";"-";"0";"-";"-";"-";"0393";"Noord-Holland";"Weinig stedelijk";"5556"
"Haarlemmerliede en Spaarnwoude";"2005";"537";"335";"17";"-";"92";"47";"17";"3";"0";"-";"-";"-";".";".";"0";"17";"-";"-";"-";"2";"3";".";"3";"-";"0";"-";"-";"-";"0393";"Noord-Holland";"Weinig stedelijk";"5552"
"Haarlemmerliede en Spaarnwoude";"2006";"530";"347";"18";"-";"76";"46";"15";"4";"0";"-";"-";"-";".";".";"1";"15";"-";"-";"-";"1";"3";".";"4";"-";"-";"-";"-";"-";"0393";"Noord-Holland";"Weinig stedelijk";"5489"
"Haarlemmerliede en Spaarnwoude";"2007";"566";"369";"30";"-";"76";"48";"14";"4";"0";"-";"-";"-";"-";"-";"0";"15";"-";"-";"-";"1";"3";"-";"4";"-";"0";"-";"-";"-";"0393";"Noord-Holland";"Weinig stedelijk";"5444"
"Haarlemmerliede en Spaarnwoude";"2008";"573";"364";"28";"-";"79";"46";"22";"3";"0";"-";"-";"-";"-";"-";"0";"16";"-";"-";"-";"1";"4";"-";"7";"-";"0";"-";"-";"-";"0393";"Noord-Holland";"Weinig stedelijk";"5429"
"Haarlemmerliede en Spaarnwoude";"2009";"580";"353";"37";"4";"76";"55";"22";"2";"0";"-";"-";"-";"-";"-";"1";"22";"-";"-";"-";"1";"7";"-";"-";"-";"-";"-";"-";"-";"0393";"Noord-Holland";"Weinig stedelijk";"5430"
"Haarlemmerliede en Spaarnwoude";"2010";".";"315";"24";"0";"79";".";"23";"3";"0";"-";"-";"3";"-";"-";"0";"21";"-";"-";"-";".";".";"-";"1";"-";"0";"-";"-";"-";"0393";"Noord-Holland";"Weinig stedelijk";"5398"
"Haarlemmerliede en Spaarnwoude";"2011";"511";"318";"20";".";"80";"34";"22";"3";"0";"-";"-";"4";"-";"-";"0";"19";"-";"-";"-";".";"2";"-";"1";"-";"0";"-";"-";"-";"0393";"Noord-Holland";"Weinig stedelijk";"5432"
"Haarlemmerliede en Spaarnwoude";"2012*";"508";"319";"20";".";"82";"20";"23";"3";"0";"-";"-";"4";"-";"-";"1";"26";"-";"-";"-";"0";"2";"-";"2";"-";"0";"-";"-";"-";"0393";"Noord-Holland";"Weinig stedelijk";"5474"
"Haarlemmermeer";"2002";"552";"210";"54";"-";"128";"56";"25";"3";"1";"-";"-";"-";".";".";"2";"21";"-";"1";"0";"6";"19";".";"24";"-";"1";"0";"1";"-";"0394";"Noord-Holland";"Matig stedelijk";"118527"
"Haarlemmermeer";"2003";"538";"217";"48";"-";"122";"50";"24";"3";"1";"-";"-";"-";".";".";"1";"20";"-";"1";"0";"3";"19";".";"28";"-";"0";"0";"0";"-";"0394";"Noord-Holland";"Matig stedelijk";"122902"
"Haarlemmermeer";"2004";".";"220";"47";"0";"125";".";"24";".";"1";"-";"-";"-";".";".";".";".";"-";"1";"0";".";"21";".";"29";"-";"0";"0";"0";"-";"0394";"Noord-Holland";"Matig stedelijk";"127750"
"Haarlemmermeer";"2005";"558";"220";"45";"-";"121";"73";"23";"2";"1";"-";"-";"-";".";".";"2";"23";"-";"1";"1";"4";"19";".";"23";"0";"0";"0";"-";"-";"0394";"Noord-Holland";"Matig stedelijk";"131816"
"Haarlemmermeer";"2006";"558";"227";"47";"-";"114";"70";"23";"3";"1";"-";"-";"-";".";".";"2";"21";"-";"1";"1";"4";"19";".";"23";"1";"0";"0";"-";"-";"0394";"Noord-Holland";"Matig stedelijk";"135136"
"Haarlemmermeer";"2007";"549";"227";"46";"-";"106";"70";"23";"3";"1";"-";"-";"-";"-";"-";"2";"21";"-";"1";"1";"4";"15";"2";"23";"1";"0";"0";"3";"-";"0394";"Noord-Holland";"Matig stedelijk";"138255"
"Haarlemmermeer";"2008";"550";"229";"47";"0";"104";"72";"23";"3";"1";"-";"-";"1";"-";"-";"2";"17";"-";"1";"1";"3";"15";"3";"22";"1";"0";"0";"3";"-";"0394";"Noord-Holland";"Matig stedelijk";"140648"
"Haarlemmermeer";"2009";"527";"221";"44";"0";"104";"61";"23";"3";"1";"-";"-";"2";"-";"-";"1";"17";"-";"1";"0";"4";"14";"3";"22";"1";"0";"0";"4";"-";"0394";"Noord-Holland";"Matig stedelijk";"142042"
"Haarlemmermeer";"2010";"517";"219";"36";"-";"100";"62";"22";"4";"1";"-";"-";"3";"-";"-";"1";"18";"-";"1";"0";"3";".";"3";"22";"1";"0";"0";"2";"3";"0394";"Noord-Holland";"Matig stedelijk";"142788"
"Haarlemmermeer";"2011";"526";"216";"37";"-";"103";"63";"22";"4";"1";"-";"-";"3";"1";"-";"3";"19";"-";"1";"0";"3";"17";"3";"24";"1";"0";"0";"3";"1";"0394";"Noord-Holland";"Matig stedelijk";"143374"
"Haarlemmermeer";"2012*";"492";"203";"31";"-";"106";"45";"22";"4";"1";"-";"-";"3";"1";"-";"3";"18";"-";"1";"1";"3";"15";"4";"25";"1";"0";"0";"3";"2";"0394";"Noord-Holland";"Matig stedelijk";"143943"
"Haelen";"2002";"524";"167";"28";"-";"109";"86";"24";".";"1";"2";"-";"3";".";".";"2";"19";"9";"-";"0";"2";"20";".";"40";"2";"4";".";"-";"-";"0914";"Limburg";"Niet stedelijk";"10113"
"Haelen";"2003";"476";"160";"23";"-";"91";"79";"23";".";"1";"2";"-";"4";".";".";"2";"10";"7";"-";"0";"2";"20";".";"44";"2";"2";"0";"-";"-";"0914";"Limburg";"Niet stedelijk";"10104"
"Haelen";"2004";"535";"169";"26";"-";"108";"87";"23";"5";"0";"2";"-";"3";".";".";"2";"28";"7";"-";"-";"2";"21";".";"49";"2";"3";"0";"-";"-";"0914";"Limburg";"Niet stedelijk";"10019"
"Haelen";"2005";"540";"166";"27";"-";"107";"87";"24";"5";"2";"2";"-";"4";".";".";"4";"35";"8";"-";"-";"2";"20";".";"43";"1";"3";"0";"-";"2";"0914";"Limburg";"Niet stedelijk";"9952"
"Haelen";"2006";"539";"168";"25";"-";"100";"87";"24";"5";"2";"2";"-";"4";".";".";"2";"35";".";"-";"-";"1";"21";".";"45";"3";"3";"2";"-";"2";"0914";"Limburg";"Niet stedelijk";"9980"
"Haelen";"2007";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Haelen";"2008";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Haelen";"2009";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Haelen";"2010";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Haelen";"2011";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Haelen";"2012*";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Halderberge";"2002";"704";"270";"76";"-";"93";"68";"23";"2";"2";"-";"-";"-";".";".";"4";"53";"-";"-";"-";"9";"15";".";"77";"-";"2";"1";"10";"-";"1655";"Noord-Brabant";"Weinig stedelijk";"29626"
"Halderberge";"2003";"697";"240";"86";"4";"97";"70";"24";"3";"2";"-";"-";"-";".";".";"4";"49";"3";"-";"-";"8";"7";".";"82";"-";"2";"1";"16";"-";"1655";"Noord-Brabant";"Weinig stedelijk";"29746"
"Halderberge";"2004";"739";"201";"83";"4";"168";"75";"21";"3";"2";"-";"-";"-";".";".";"4";"49";"3";"-";"0";"7";"22";".";"75";"-";"2";"1";"18";"-";"1655";"Noord-Brabant";"Weinig stedelijk";"29679"
"Halderberge";"2005";"745";"201";"81";"4";"156";"77";"21";"4";"2";"-";"-";"-";".";".";"8";"52";"2";"-";"0";"7";"24";".";"83";"-";"2";"0";"18";"-";"1655";"Noord-Brabant";"Weinig stedelijk";"29537"
"Halderberge";"2006";"724";"204";"78";"4";"152";"74";"21";"4";"2";"-";"-";"-";".";".";"5";"53";"3";"-";"-";"7";"23";".";"77";"-";"2";"0";"15";"-";"1655";"Noord-Brabant";"Weinig stedelijk";"29482"
"Halderberge";"2007";"721";"212";"78";"-";"153";"76";"23";"5";"2";"-";"-";"1";"-";"-";"5";"43";"3";"-";"-";"7";"20";"0";"80";"-";"2";"0";"12";"-";"1655";"Noord-Brabant";"Weinig stedelijk";"29331"
"Halderberge";"2008";"668";"209";"56";"-";"154";"77";"23";"5";"1";"-";"-";"-";"-";"-";".";"31";"3";"-";"0";"5";"18";"4";"64";"-";"0";"0";"13";"-";"1655";"Noord-Brabant";"Weinig stedelijk";"29488"
"Halderberge";"2009";"725";"214";"49";"0";"147";"77";"23";"5";"2";"-";"-";"3";"-";"-";"6";"41";"4";"-";"0";"7";"33";"7";"81";"0";"1";"0";"25";"-";"1655";"Noord-Brabant";"Weinig stedelijk";"29271"
"Halderberge";"2010";"720";"216";"46";"-";"144";"74";"20";"5";"2";"-";"-";"4";"-";"-";".";"36";"2";"-";".";"7";"36";"6";"80";"5";"1";"0";"25";"6";"1655";"Noord-Brabant";"Weinig stedelijk";"29291"
"Halderberge";"2011";"735";"214";"48";"-";"142";"74";"21";"5";"2";"-";"-";"5";"-";"-";".";"40";"1";"-";"0";"6";"38";"6";"84";"7";"1";"0";"28";"6";"1655";"Noord-Brabant";"Weinig stedelijk";"29292"
"Halderberge";"2012*";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"1655";"Noord-Brabant";"Weinig stedelijk";"29325"
"Hardenberg";"2002";".";"190";".";"8";"79";"87";"19";"2";"1";"-";"1";"0";".";".";"2";"28";"6";"-";"1";"1";"3";".";"4";"0";"0";"0";"1";"-";"0160";"Overijssel";"Niet stedelijk";"57502"
"Hardenberg";"2003";"415";"189";"5";"9";"71";"83";"21";"3";"1";"-";"1";"0";".";".";"3";"5";"8";"-";"1";"1";"4";".";"5";".";".";"0";"1";"-";"0160";"Overijssel";"Niet stedelijk";"57731"
"Hardenberg";"2004";"426";"196";"5";"8";"75";"82";"20";"5";"1";"1";"1";"0";".";".";"3";"6";"9";"-";"1";"1";"5";".";"4";"0";"0";"0";"0";"-";"0160";"Overijssel";"Niet stedelijk";"57820"
"Hardenberg";"2005";"405";"197";"6";"8";"70";"73";"16";"4";"1";"0";"0";"1";".";".";"2";"7";"5";"-";"0";"0";"6";".";"5";"0";"0";"0";"1";"-";"0160";"Overijssel";"Niet stedelijk";"57855"
"Hardenberg";"2006";"404";"201";"8";"10";"59";"73";"14";"5";"1";"-";"-";"-";".";".";".";"7";"6";"-";"0";"0";"9";".";"6";"0";"0";"0";"1";"-";"0160";"Overijssel";"Niet stedelijk";"57909"
"Hardenberg";"2007";"421";"205";"9";"9";"59";"74";"19";"6";"1";"-";"-";"-";"0";"-";".";"13";"5";"-";"0";"0";"9";"-";"6";"0";"0";"0";"1";"-";"0160";"Overijssel";"Niet stedelijk";"58105"
"Hardenberg";"2008";"427";"205";"9";"9";"58";"83";"21";"7";"1";"-";"-";"-";"1";"-";"3";"10";"5";"-";"0";"0";"7";"-";"5";"0";"-";"0";"1";"-";"0160";"Overijssel";"Niet stedelijk";"58207"
"Hardenberg";"2009";"418";"191";"7";"8";"58";"84";"20";"6";"1";"-";"-";"6";"0";"-";"3";"11";"7";"-";"0";"0";"8";"-";"5";"0";"2";"0";"1";"-";"0160";"Overijssel";"Niet stedelijk";"58650"
"Hardenberg";"2010";"406";"179";"7";"7";"56";"82";"20";"6";"1";"-";"-";"13";"0";"-";"4";"11";"6";"-";"0";"0";"7";"-";"5";"0";"1";"0";"1";"-";"0160";"Overijssel";"Niet stedelijk";"59014"
"Hardenberg";"2011";"406";"179";"6";"7";"59";"79";"20";"5";"0";"-";"-";"14";"0";"-";"4";"10";"6";"-";"0";"0";"8";"-";"6";"0";"2";"0";"1";"-";"0160";"Overijssel";"Weinig stedelijk";"59283"
"Hardenberg";"2012*";"390";"171";"5";"6";"57";"75";"19";"5";"1";"-";"-";"14";"0";"-";"3";"11";"6";"-";"0";"0";"8";"-";"5";"0";"2";"0";"1";"-";"0160";"Overijssel";"Weinig stedelijk";"59430"
